907,830
752,0
1279,1150
1452,862
1461,977
1307,841
1431,933
1459,897
1399,1007
1539,1010
2009,1274
2620,1241
3205,1611
3188,1666
3546,2194
3709,2395
4852,3058
6718,3349
10718,5736
14886,7226
27302,14521
61005,19228
1230050,34693
5104340,86593
8944860,427139
2767560,1169480
220761,3372990
23390,3987490
16259,5010890
10298,2530010
7188,1426070
4250,272247
2864,67849
2475,12940
2337,8663
2517,6176
2296,5398
1927,4079
1604,3308
1362,2262
1293,1889
1376,1561
1271,1767
1291,1642
1424,1562
1428,1548
1549,1406
0,1071
0,0
0,0
